isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
MG1065_maxbin_03_00808	MG1348_maxbin_1_00007	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.017	YN00_N	1173.5	YN00_S	368.5	YN00_t	0.0689	YN00_omega	0.0091	YN00_dS	0.0934	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0106	LWL85m_N	1135.0	LWL85m_S	407.0	LWL85m_rho	None	LWL85m_dS	0.083	LPB93	LPB93_dN	0.0	LPB93_dS	0.083	LPB93_w	0.0106	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.094	LWL85_w	0.0089	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0096	NG86_dS	0.0899
MG1065_maxbin_03_00808	MG1066_maxbin_09_00859	YN00	YN00_dN	-0.0	YN00_dN SE	0.0	YN00_kappa	2.2119	YN00_dS SE	0.0	YN00_N	1171.7	YN00_S	370.3	YN00_t	-0.0	YN00_omega	99.0	YN00_dS	-0.0	LWL85m	LWL85m_dN	None	LWL85m_S	nan	LWL85m_dS	None	LWL85m_w	nan	LWL85m_N	nan	LPB93	LPB93_dN	0.0	LPB93_dS	0.0	LPB93_w	nan	LWL85	LWL85_dN	0.0	LWL85_S	356.3	LWL85_dS	0.0	LWL85_w	nan	LWL85_N	1185.7	NG86	NG86_dN	0.0	NG86_omega	-1.0	NG86_dS	0.0
MG1065_maxbin_03_00808	MG1174_maxbin_9_sub_00432	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.0089	YN00_N	1174.9	YN00_S	367.1	YN00_t	0.0219	YN00_omega	0.0305	YN00_dS	0.0279	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.039	LWL85m_N	1104.8	LWL85m_S	437.2	LWL85m_rho	None	LWL85m_dS	0.023	LPB93	LPB93_dN	0.0	LPB93_dS	0.023	LPB93_w	0.0342	LWL85	LWL85_dN	0.0	LWL85_S	356.0	LWL85_dS	0.028	LWL85_w	0.0295	LWL85_N	1186.0	NG86	NG86_dN	0.0009	NG86_omega	0.0318	NG86_dS	0.027
MG1065_maxbin_03_00808	SRR13259104_00739	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.0143	YN00_N	1171.3	YN00_S	370.7	YN00_t	0.0512	YN00_omega	0.0125	YN00_dS	0.0683	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0145	LWL85m_N	1132.6	LWL85m_S	409.4	LWL85m_rho	None	LWL85m_dS	0.061	LPB93	LPB93_dN	0.0	LPB93_dS	0.061	LPB93_w	0.0144	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.07	LWL85_w	0.0121	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0129	NG86_dS	0.0664
MG1065_maxbin_03_00808	MG273_maxbin_4_00151	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.0147	YN00_N	1173.9	YN00_S	368.1	YN00_t	0.0534	YN00_omega	0.0119	YN00_dS	0.0718	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0135	LWL85m_N	1140.2	LWL85m_S	401.8	LWL85m_rho	None	LWL85m_dS	0.064	LPB93	LPB93_dN	0.0	LPB93_dS	0.065	LPB93_w	0.0136	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.073	LWL85_w	0.0116	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0124	NG86_dS	0.0693
MG1065_maxbin_03_00808	ERR1045856_00718	YN00	YN00_dN	0.0017	YN00_dN SE	0.0012	YN00_kappa	2.2119	YN00_dS SE	0.017	YN00_N	1173.5	YN00_S	368.5	YN00_t	0.0709	YN00_omega	0.0183	YN00_dS	0.0934	LWL85m	LWL85m_dN	0.001	LWL85m_w	0.0213	LWL85m_N	1135.0	LWL85m_S	407.0	LWL85m_rho	None	LWL85m_dS	0.083	LPB93	LPB93_dN	0.001	LPB93_dS	0.083	LPB93_w	0.0222	LWL85	LWL85_dN	0.001	LWL85_S	356.7	LWL85_dS	0.094	LWL85_w	0.0178	LWL85_N	1185.3	NG86	NG86_dN	0.0017	NG86_omega	0.0191	NG86_dS	0.0899
MG1065_maxbin_03_00808	SRR3350448_00669	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.017	YN00_N	1173.5	YN00_S	368.5	YN00_t	0.0689	YN00_omega	0.0091	YN00_dS	0.0934	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0106	LWL85m_N	1135.0	LWL85m_S	407.0	LWL85m_rho	None	LWL85m_dS	0.083	LPB93	LPB93_dN	0.0	LPB93_dS	0.083	LPB93_w	0.0106	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.094	LWL85_w	0.0089	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0096	NG86_dS	0.0899
MG1065_maxbin_03_00808	MG1297_maxbin_2_00154	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.0173	YN00_N	1173.9	YN00_S	368.1	YN00_t	0.0711	YN00_omega	0.0088	YN00_dS	0.0966	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0101	LWL85m_N	1140.5	LWL85m_S	401.5	LWL85m_rho	None	LWL85m_dS	0.087	LPB93	LPB93_dN	0.0	LPB93_dS	0.087	LPB93_w	0.0101	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.097	LWL85_w	0.0086	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0093	NG86_dS	0.0929
MG1065_maxbin_03_00808	SRR10957314_00713	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.0122	YN00_N	1174.0	YN00_S	368.0	YN00_t	0.0384	YN00_omega	0.0168	YN00_dS	0.0509	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.019	LWL85m_N	1139.5	LWL85m_S	402.5	LWL85m_rho	None	LWL85m_dS	0.046	LPB93	LPB93_dN	0.0	LPB93_dS	0.047	LPB93_w	0.0188	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.052	LWL85_w	0.0162	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0175	NG86_dS	0.0492
MG1065_maxbin_03_00808	ERR1045858_00702	YN00	YN00_dN	0.0009	YN00_dN SE	0.0009	YN00_kappa	2.2119	YN00_dS SE	0.017	YN00_N	1173.5	YN00_S	368.5	YN00_t	0.0689	YN00_omega	0.0091	YN00_dS	0.0934	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0106	LWL85m_N	1135.0	LWL85m_S	407.0	LWL85m_rho	None	LWL85m_dS	0.083	LPB93	LPB93_dN	0.0	LPB93_dS	0.083	LPB93_w	0.0106	LWL85	LWL85_dN	0.0	LWL85_S	356.7	LWL85_dS	0.094	LWL85_w	0.0089	LWL85_N	1185.3	NG86	NG86_dN	0.0009	NG86_omega	0.0096	NG86_dS	0.0899
