isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
ERR1045811_00382	MG1397_maxbin_5_00759	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.0047	YN00_N	1830.6	YN00_S	644.4	YN00_t	0.0123	YN00_omega	0.0386	YN00_dS	0.0141	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0473	LWL85m_N	1729.9	LWL85m_S	745.1	LWL85m_rho	None	LWL85m_dS	0.012	LPB93	LPB93_dN	0.0	LPB93_dS	0.012	LPB93_w	0.0482	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.017	LWL85_w	0.0299	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0324	NG86_dS	0.0162
ERR1045811_00382	SRR13259104_00397	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.0048	YN00_N	1831.5	YN00_S	643.5	YN00_t	0.0123	YN00_omega	0.0385	YN00_dS	0.0142	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0442	LWL85m_N	1765.9	LWL85m_S	709.1	LWL85m_rho	None	LWL85m_dS	0.012	LPB93	LPB93_dN	0.0	LPB93_dS	0.012	LPB93_w	0.0482	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.017	LWL85_w	0.0299	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0324	NG86_dS	0.0162
ERR1045811_00382	SRR10957314_00389	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.0047	YN00_N	1830.9	YN00_S	644.1	YN00_t	0.0123	YN00_omega	0.0386	YN00_dS	0.0142	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0461	LWL85m_N	1744.3	LWL85m_S	730.7	LWL85m_rho	None	LWL85m_dS	0.012	LPB93	LPB93_dN	0.0	LPB93_dS	0.012	LPB93_w	0.0482	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.017	LWL85_w	0.0299	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0324	NG86_dS	0.0162
ERR1045811_00382	SRR10957307_00392	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.009	YN00_N	1830.1	YN00_S	644.9	YN00_t	0.0391	YN00_omega	0.0113	YN00_dS	0.0485	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0123	LWL85m_N	1790.8	LWL85m_S	684.2	LWL85m_rho	None	LWL85m_dS	0.045	LPB93	LPB93_dN	0.0	LPB93_dS	0.044	LPB93_w	0.0134	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.058	LWL85_w	0.0088	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0095	NG86_dS	0.0552
ERR1045811_00382	MG1297_maxbin_2_00673	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.007	YN00_N	1831.5	YN00_S	643.5	YN00_t	0.0249	YN00_omega	0.018	YN00_dS	0.0303	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0193	LWL85m_N	1800.9	LWL85m_S	674.1	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.0	LPB93_dS	0.027	LPB93_w	0.0216	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.036	LWL85_w	0.014	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0152	NG86_dS	0.0345
ERR1045811_00382	ERR1045858_00393	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.005	YN00_N	1831.4	YN00_S	643.6	YN00_t	0.0135	YN00_omega	0.0346	YN00_dS	0.0158	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0397	LWL85m_N	1765.9	LWL85m_S	709.1	LWL85m_rho	None	LWL85m_dS	0.014	LPB93	LPB93_dN	0.0	LPB93_dS	0.013	LPB93_w	0.0438	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.019	LWL85_w	0.0269	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0291	NG86_dS	0.018
ERR1045811_00382	MG1284_maxbin_1_00423	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.0053	YN00_N	1830.6	YN00_S	644.4	YN00_t	0.0147	YN00_omega	0.0315	YN00_dS	0.0173	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0288	LWL85m_N	1873.3	LWL85m_S	601.7	LWL85m_rho	None	LWL85m_dS	0.018	LPB93	LPB93_dN	0.0	LPB93_dS	0.016	LPB93_w	0.0368	LWL85	LWL85_dN	0.0	LWL85_S	529.5	LWL85_dS	0.021	LWL85_w	0.0244	LWL85_N	1945.5	NG86	NG86_dN	0.0005	NG86_omega	0.0265	NG86_dS	0.0198
ERR1045811_00382	MG273_maxbin_4_01130	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.0055	YN00_N	1830.5	YN00_S	644.5	YN00_t	0.016	YN00_omega	0.0288	YN00_dS	0.019	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0361	LWL85m_N	1719.6	LWL85m_S	755.4	LWL85m_rho	None	LWL85m_dS	0.016	LPB93	LPB93_dN	0.0	LPB93_dS	0.016	LPB93_w	0.037	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.023	LWL85_w	0.0224	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0242	NG86_dS	0.0216
ERR1045811_00382	ERR1045863_00389	YN00	YN00_dN	0.0005	YN00_dN SE	0.0005	YN00_kappa	2.8436	YN00_dS SE	0.007	YN00_N	1831.5	YN00_S	643.5	YN00_t	0.0249	YN00_omega	0.018	YN00_dS	0.0303	LWL85m	LWL85m_dN	0.0	LWL85m_w	0.0193	LWL85m_N	1800.9	LWL85m_S	674.1	LWL85m_rho	None	LWL85m_dS	0.028	LPB93	LPB93_dN	0.0	LPB93_dS	0.027	LPB93_w	0.0216	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.036	LWL85_w	0.014	LWL85_N	1945.7	NG86	NG86_dN	0.0005	NG86_omega	0.0152	NG86_dS	0.0345
ERR1045811_00382	ERR1045808_00389	YN00	YN00_dN	-0.0	YN00_dN SE	0.0	YN00_kappa	2.8436	YN00_dS SE	0.0	YN00_N	1830.6	YN00_S	644.4	YN00_t	-0.0	YN00_omega	99.0	YN00_dS	-0.0	LWL85m	LWL85m_dN	None	LWL85m_S	nan	LWL85m_dS	None	LWL85m_w	nan	LWL85m_N	nan	LPB93	LPB93_dN	0.0	LPB93_dS	0.0	LPB93_w	nan	LWL85	LWL85_dN	0.0	LWL85_S	529.3	LWL85_dS	0.0	LWL85_w	nan	LWL85_N	1945.7	NG86	NG86_dN	0.0	NG86_omega	-1.0	NG86_dS	0.0
