isolate	comparedTo_iso	method_1	sanity_check	YN00_dN		YN00_dN_SE		YN00_kappa		YN00_dS_SE		YN00_N		YN00_S		YN00_t		YN00_omega		YN00_dS	method_2		LWL85m_dN		LWL85m_w		LWL85m_N		LWL85m_S		LWL85m_rho		LWL85m_dS	method3		LPB93_dN		LPB93_dS		LPB93_w	method4		LWL85_dN		LWL85_S		LWL85_dS		LWL85_w		LWL85_N	method5		NG86_dN		NG86_omega		NG86_dS
SRR10957311_00760	SRR10957314_00788	YN00	YN00_dN	0.0058	YN00_dN SE	0.0029	YN00_kappa	3.2146	YN00_dS SE	0.0173	YN00_N	694.8	YN00_S	229.2	YN00_t	0.0605	YN00_omega	0.0906	YN00_dS	0.0638	LWL85m	LWL85m_dN	0.008	LWL85m_w	0.1538	LWL85m_N	701.5	LWL85m_S	222.5	LWL85m_rho	None	LWL85m_dS	0.056	LPB93	LPB93_dN	0.008	LPB93_dS	0.057	LPB93_w	0.1484	LWL85	LWL85_dN	0.008	LWL85_S	205.2	LWL85_dS	0.06	LWL85_w	0.1384	LWL85_N	718.8	NG86	NG86_dN	0.0057	NG86_omega	0.0876	NG86_dS	0.0654
SRR10957311_00760	MG343_maxbin_1_00202	YN00	YN00_dN	0.0485	YN00_dN SE	0.0086	YN00_kappa	3.2146	YN00_dS SE	0.0207	YN00_N	693.7	YN00_S	230.3	YN00_t	0.1764	YN00_omega	0.5393	YN00_dS	0.0899	LWL85m	LWL85m_dN	0.047	LWL85m_w	0.4547	LWL85m_N	734.6	LWL85m_S	189.4	LWL85m_rho	None	LWL85m_dS	0.104	LPB93	LPB93_dN	0.047	LPB93_dS	0.101	LPB93_w	0.4613	LWL85	LWL85_dN	0.048	LWL85_S	203.2	LWL85_dS	0.097	LWL85_w	0.4969	LWL85_N	720.8	NG86	NG86_dN	0.0477	NG86_omega	0.5093	NG86_dS	0.0937
SRR10957311_00760	ERR1939897_00774	YN00	YN00_dN	0.0043	YN00_dN SE	0.0025	YN00_kappa	3.2146	YN00_dS SE	0.0168	YN00_N	695.4	YN00_S	228.6	YN00_t	0.054	YN00_omega	0.0727	YN00_dS	0.0596	LWL85m	LWL85m_dN	0.004	LWL85m_w	0.0698	LWL85m_N	704.4	LWL85m_S	219.6	LWL85m_rho	None	LWL85m_dS	0.061	LPB93	LPB93_dN	0.004	LPB93_dS	0.057	LPB93_w	0.0851	LWL85	LWL85_dN	0.004	LWL85_S	204.8	LWL85_dS	0.065	LWL85_w	0.0637	LWL85_N	719.2	NG86	NG86_dN	0.0043	NG86_omega	0.0707	NG86_dS	0.0607
SRR10957311_00760	SRR8179089_00793	YN00	YN00_dN	0.0072	YN00_dN SE	0.0032	YN00_kappa	3.2146	YN00_dS SE	0.0137	YN00_N	694.9	YN00_S	229.1	YN00_t	0.0465	YN00_omega	0.178	YN00_dS	0.0406	LWL85m	LWL85m_dN	0.007	LWL85m_w	0.2082	LWL85m_N	667.8	LWL85m_S	256.2	LWL85m_rho	None	LWL85m_dS	0.036	LPB93	LPB93_dN	0.007	LPB93_dS	0.036	LPB93_w	0.2038	LWL85	LWL85_dN	0.007	LWL85_S	205.2	LWL85_dS	0.045	LWL85_w	0.1549	LWL85_N	718.8	NG86	NG86_dN	0.0072	NG86_omega	0.1732	NG86_dS	0.0414
SRR10957311_00760	SRR10389210_00788	YN00	YN00_dN	0.0072	YN00_dN SE	0.0032	YN00_kappa	3.2146	YN00_dS SE	0.0137	YN00_N	694.9	YN00_S	229.1	YN00_t	0.0465	YN00_omega	0.178	YN00_dS	0.0406	LWL85m	LWL85m_dN	0.007	LWL85m_w	0.2082	LWL85m_N	667.8	LWL85m_S	256.2	LWL85m_rho	None	LWL85m_dS	0.036	LPB93	LPB93_dN	0.007	LPB93_dS	0.036	LPB93_w	0.2038	LWL85	LWL85_dN	0.007	LWL85_S	205.2	LWL85_dS	0.045	LWL85_w	0.1549	LWL85_N	718.8	NG86	NG86_dN	0.0072	NG86_omega	0.1732	NG86_dS	0.0414
SRR10957311_00760	SRR13259104_00810	YN00	YN00_dN	0.0043	YN00_dN SE	0.0025	YN00_kappa	3.2146	YN00_dS SE	0.0168	YN00_N	695.4	YN00_S	228.6	YN00_t	0.054	YN00_omega	0.0727	YN00_dS	0.0596	LWL85m	LWL85m_dN	0.004	LWL85m_w	0.0698	LWL85m_N	704.4	LWL85m_S	219.6	LWL85m_rho	None	LWL85m_dS	0.061	LPB93	LPB93_dN	0.004	LPB93_dS	0.057	LPB93_w	0.0851	LWL85	LWL85_dN	0.004	LWL85_S	204.8	LWL85_dS	0.065	LWL85_w	0.0637	LWL85_N	719.2	NG86	NG86_dN	0.0043	NG86_omega	0.0707	NG86_dS	0.0607
SRR10957311_00760	SRR3350448_00742	YN00	YN00_dN	0.0058	YN00_dN SE	0.0029	YN00_kappa	3.2146	YN00_dS SE	0.0151	YN00_N	695.5	YN00_S	228.5	YN00_t	0.05	YN00_omega	0.116	YN00_dS	0.0498	LWL85m	LWL85m_dN	0.005	LWL85m_w	0.081	LWL85m_N	751.5	LWL85m_S	172.5	LWL85m_rho	None	LWL85m_dS	0.066	LPB93	LPB93_dN	0.005	LPB93_dS	0.06	LPB93_w	0.0914	LWL85	LWL85_dN	0.005	LWL85_S	205.2	LWL85_dS	0.055	LWL85_w	0.1007	LWL85_N	718.8	NG86	NG86_dN	0.0057	NG86_omega	0.1125	NG86_dS	0.0509
SRR10957311_00760	MG1348_maxbin_1_01252	YN00	YN00_dN	0.0197	YN00_dN SE	0.0054	YN00_kappa	3.2146	YN00_dS SE	0.0281	YN00_N	693.9	YN00_S	230.1	YN00_t	0.1581	YN00_omega	0.1296	YN00_dS	0.1522	LWL85m	LWL85m_dN	0.019	LWL85m_w	0.1209	LWL85m_N	715.9	LWL85m_S	208.1	LWL85m_rho	None	LWL85m_dS	0.164	LPB93	LPB93_dN	0.02	LPB93_dS	0.16	LPB93_w	0.125	LWL85	LWL85_dN	0.019	LWL85_S	205.5	LWL85_dS	0.166	LWL85_w	0.119	LWL85_N	718.5	NG86	NG86_dN	0.0195	NG86_omega	0.1256	NG86_dS	0.1556
SRR10957311_00760	MG151_maxbin_2_01047	YN00	YN00_dN	0.0058	YN00_dN SE	0.0029	YN00_kappa	3.2146	YN00_dS SE	0.0137	YN00_N	695.3	YN00_S	228.7	YN00_t	0.0432	YN00_omega	0.1423	YN00_dS	0.0406	LWL85m	LWL85m_dN	0.005	LWL85m_w	0.1445	LWL85m_N	693.4	LWL85m_S	230.6	LWL85m_rho	None	LWL85m_dS	0.04	LPB93	LPB93_dN	0.005	LPB93_dS	0.04	LPB93_w	0.1463	LWL85	LWL85_dN	0.005	LWL85_S	204.8	LWL85_dS	0.045	LWL85_w	0.1238	LWL85_N	719.2	NG86	NG86_dN	0.0057	NG86_omega	0.1381	NG86_dS	0.0415
SRR10957311_00760	SRR10957307_00773	YN00	YN00_dN	-0.0	YN00_dN SE	0.0	YN00_kappa	3.2146	YN00_dS SE	0.0	YN00_N	695.1	YN00_S	228.9	YN00_t	-0.0	YN00_omega	99.0	YN00_dS	-0.0	LWL85m	LWL85m_dN	None	LWL85m_S	nan	LWL85m_dS	None	LWL85m_w	nan	LWL85m_N	nan	LPB93	LPB93_dN	0.0	LPB93_dS	0.0	LPB93_w	nan	LWL85	LWL85_dN	0.0	LWL85_S	205.3	LWL85_dS	0.0	LWL85_w	nan	LWL85_N	718.7	NG86	NG86_dN	0.0	NG86_omega	-1.0	NG86_dS	0.0
